pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MultiHit,RISP_AVG,PH_AVG
54400,삼성,디아즈,삼성0디아즈,0,내야수,좌투좌타,1996년 11월 19일,188cm/105kg,0.298,121,539,470,76,140,29,0,21,232,106,0,7,60,5,2,90,11,0.494,0.375,0.869,39,0.340,0.000
55425,삼성,김상준,삼성56김상준,56,내야수,우투좌타,2002년 12월 30일,176cm/75kg,0.176,43,59,51,13,9,1,0,0,10,1,1,0,4,0,3,14,0,0.196,0.276,0.472,1,0.083,1.000
55435,삼성,차승준,삼성35차승준,35,내야수,우투좌타,2006년 11월 20일,181cm/88kg,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
55438,삼성,심재훈,삼성6심재훈,6,내야수,우투우타,2006년 03월 03일,180cm/80kg,0.262,36,46,42,5,11,2,0,0,13,1,0,0,4,0,0,12,0,0.310,0.326,0.636,1,0.125,0.000
65040,삼성,김태훈,삼성25김태훈,25,외야수,우투좌타,1996년 03월 31일,177cm/78kg,0.150,10,22,20,3,3,1,0,1,7,3,0,0,2,0,0,6,1,0.350,0.227,0.577,1,0.000,0.000
55440,삼성,함수호,삼성40함수호,40,외야수,좌투좌타,2006년 03월 10일,181cm/88kg,0.063,11,18,16,0,1,0,0,0,1,2,0,0,2,0,0,5,0,0.063,0.167,0.230,0,0.167,0.200
53400,삼성,김재상,삼성14김재상,14,내야수,우투좌타,2004년 07월 26일,180cm/81kg,0.286,8,16,14,1,4,0,0,0,4,1,1,0,1,0,0,4,0,0.286,0.333,0.619,1,0.286,0.000
67449,삼성,김성윤,삼성39김성윤,39,외야수,좌투좌타,1999년 02월 02일,163cm/62kg,0.305,103,405,347,63,106,17,2,3,136,44,11,3,42,0,2,41,9,0.392,0.381,0.773,34,0.351,0.500
50458,삼성,김지찬,삼성58김지찬,58,외야수,우투좌타,2001년 03월 08일,163cm/64kg,0.327,118,472,395,92,129,10,5,0,149,37,11,3,58,1,5,36,3,0.377,0.416,0.793,38,0.385,0.385
62234,삼성,류지혁,삼성16류지혁,16,내야수,우투좌타,1994년 01월 13일,181cm/75kg,0.290,117,462,393,56,114,17,5,5,156,58,7,3,50,1,9,68,9,0.397,0.380,0.777,33,0.352,0.333
