pitcherPCode,hitterPCode,AVG,PA,AB,H,2B,3B,HR,RBI,BB,HBP,SO,SLG,OBP,OPS
62360,52001,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
62360,79240,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
62360,79402,0.500,2,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000
62360,64004,0.500,2,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000
62360,51003,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
62360,64007,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
62360,66706,1.000,1,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000
55455,52001,1.000,1,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000
55455,78548,0.333,3,3,1,1,0,0,1,0,0,0,0.667,0.333,1.000
55455,79402,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
55455,64004,0.333,3,3,1,0,0,0,0,0,0,0,0.333,0.333,0.666
55455,67644,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
65062,52001,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
65062,79240,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
65062,78548,-,1,0,0,0,0,0,0,1,0,0,0.000,1.000,1.000
65062,79402,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
65062,64004,0.000,2,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000
65062,66706,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
65062,67644,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
50464,52001,1.000,1,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000
50464,79240,0.000,2,1,0,0,0,0,0,1,0,0,0.000,0.500,0.500
50464,79402,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
50464,64166,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
50464,64504,0.333,3,3,1,0,0,1,2,0,0,0,1.333,0.333,1.666
50464,64115,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
60146,52001,0.500,2,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000
60146,79402,0.000,2,2,0,0,0,0,0,0,0,1,0.000,0.000,0.000
