pitcherPCode,hitterPCode,AVG,PA,AB,H,2B,3B,HR,RBI,BB,HBP,SO,SLG,OBP,OPS
51460,53123,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
51460,79365,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
51460,68110,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
51460,69102,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
77446,79109,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
77446,68106,1.000,1,1,1,1,0,0,0,0,0,0,2.000,1.000,3.000
77446,52121,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
77446,51100,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
77446,65207,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
77446,52154,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
77446,66108,-,1,0,0,0,0,0,0,1,0,0,0.000,1.000,1.000
77446,62415,1.000,1,1,1,0,0,0,1,0,0,0,1.000,1.000,2.000
77446,69100,-,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
77446,69102,-,1,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000
56459,53123,0.500,3,2,1,0,0,0,0,1,0,0,0.500,0.667,1.167
56459,68110,0.333,3,3,1,0,0,0,1,0,0,1,0.333,0.333,0.666
56459,52121,0.000,2,2,0,0,0,0,0,0,0,2,0.000,0.000,0.000
56459,65207,0.667,3,3,2,0,0,0,0,0,0,0,0.667,0.667,1.334
56459,52154,0.000,2,2,0,0,0,0,0,0,0,1,0.000,0.000,0.000
56459,66108,0.000,2,1,0,0,0,0,0,1,0,0,0.000,0.500,0.500
56459,62415,0.000,3,3,0,0,0,0,0,0,0,0,0.000,0.000,0.000
56459,69100,0.000,2,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000
56459,69102,0.000,2,2,0,0,0,0,0,0,0,1,0.000,0.000,0.000
56460,53123,0.000,2,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000
56460,79109,-,1,0,0,0,0,0,0,1,0,0,0.000,1.000,1.000
56460,79365,0.500,2,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000
56460,52103,-,1,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
56460,68110,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
56460,52121,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
56460,51100,-,1,0,0,0,0,0,0,1,0,0,0.000,1.000,1.000
56460,65207,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
56460,62415,0.000,1,1,0,0,0,0,0,0,0,1,0.000,0.000,0.000
56460,69100,0.000,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
