pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,OAVG,2B,3B,SAC,SF,IBB,WP,BK
61365,삼성,김대우,삼성17김대우,17,투수,우언우타,1988년 11월 21일,183cm/85kg,0.00,2,0,0,0,1,-,2/3,1,0,0,0,0,0,0,1.50,0,0,0,0,3,16,0.333,1,0,0,0,0,0,0
61268,삼성,양현,삼성19양현,19,투수,우언우타,1992년 08월 23일,189cm/104kg,0.00,4,0,0,0,0,-,3 1/3,2,0,3,0,1,0,0,1.50,0,0,0,1,15,65,0.167,0,0,0,0,0,0,0
63960,삼성,이상민,삼성15이상민,15,투수,좌투좌타,1990년 11월 04일,180cm/85kg,0.00,1,0,0,0,0,-,1,2,0,0,0,1,0,0,2.00,0,0,0,0,5,12,0.400,0,0,0,0,0,0,0
63492,삼성,이재익,삼성45이재익,45,투수,좌투좌타,1994년 03월 18일,180cm/76kg,1.23,7,1,0,0,0,1.000,7 1/3,8,0,2,0,6,1,1,1.36,0,0,0,0,31,113,0.276,0,1,0,0,0,1,0
77446,삼성,백정현,삼성29백정현,29,투수,좌투좌타,1987년 07월 13일,184cm/80kg,1.95,29,2,0,1,3,1.000,32 1/3,19,1,7,2,31,7,7,0.80,0,0,0,2,128,505,0.165,6,0,2,2,0,0,0
53375,삼성,후라도,삼성75후라도,75,투수,우투우타,1996년 01월 30일,188cm/109kg,2.60,30,15,8,0,0,0.652,197 1/3,177,17,36,4,142,65,57,1.08,3,2,23,0,786,2921,0.239,17,3,5,1,0,3,0
55460,삼성,가라비토,삼성60가라비토,60,투수,우투우타,1995년 08월 19일,183cm/100kg,2.64,15,4,4,0,0,0.500,78 1/3,56,6,37,6,84,31,23,1.19,0,0,4,0,327,1356,0.200,5,0,4,0,1,2,0
51460,삼성,이재희,삼성17이재희,17,투수,우투좌타,2001년 10월 11일,187cm/88kg,3.00,11,0,2,0,4,0.000,9,7,0,5,0,9,3,3,1.33,0,0,0,0,39,157,0.206,1,1,0,0,0,0,0
69446,삼성,원태인,삼성18원태인,18,투수,우투우타,2000년 04월 06일,183cm/92kg,3.24,27,12,4,0,0,0.750,166 2/3,157,20,27,6,108,66,60,1.10,0,0,20,0,671,2493,0.253,32,2,11,6,1,1,0
68415,삼성,양창섭,삼성42양창섭,42,투수,우투우타,1999년 09월 22일,182cm/85kg,3.43,33,3,3,0,2,0.500,63,67,3,19,9,45,29,24,1.37,0,0,0,0,276,969,0.278,10,0,3,4,1,4,0
50464,삼성,이승민,삼성28이승민,28,투수,좌투좌타,2000년 08월 26일,174cm/79kg,3.78,62,3,2,0,8,0.600,64 1/3,61,5,26,3,53,37,27,1.35,0,0,0,0,280,1068,0.249,15,2,5,1,2,1,0
55455,삼성,배찬승,삼성55배찬승,55,투수,좌투좌타,2006년 01월 01일,180cm/85kg,3.91,65,2,3,0,19,0.400,50 2/3,50,3,34,2,57,25,22,1.66,0,0,0,2,233,962,0.259,11,0,4,0,1,5,0
54443,삼성,레예스,삼성레예스,,투수,우투우타,1996년 11월 02일,198cm/113kg,4.14,10,4,3,0,0,0.571,50,51,5,12,3,35,26,23,1.26,0,0,2,0,215,844,0.264,7,1,3,4,0,0,0
62360,삼성,김태훈,삼성27김태훈,27,투수,우투우타,1992년 03월 02일,187cm/101kg,4.48,73,2,6,2,19,0.250,66 1/3,66,8,26,2,74,34,33,1.39,0,0,0,5,287,1122,0.259,13,0,1,3,3,4,0
73801,삼성,송은범,삼성46송은범,46,투수,우투우타,1984년 03월 17일,182cm/93kg,4.50,5,0,0,0,0,-,6,9,0,3,0,2,3,3,2.00,0,0,0,0,28,93,0.375,2,0,1,0,0,3,0
50430,삼성,홍원표,삼성65홍원표,65,투수,우투우타,2001년 03월 27일,183cm/86kg,4.50,2,0,1,0,0,0.000,2,3,0,2,1,1,1,1,2.50,0,0,0,0,12,40,0.429,0,0,1,1,1,0,0
78352,삼성,임창민,삼성45임창민,45,투수,우투우타,1985년 08월 25일,183cm/94kg,4.85,16,1,0,0,2,1.000,13,17,5,7,1,6,8,7,1.85,0,0,0,1,63,263,0.321,2,0,1,1,1,0,0
65320,삼성,최원태,삼성20최원태,20,투수,우투우타,1997년 01월 07일,184cm/104kg,4.92,27,8,7,0,0,0.533,124 1/3,128,13,51,12,109,72,68,1.44,0,0,8,0,552,2137,0.271,21,0,10,7,1,9,0
65062,삼성,김재윤,삼성62김재윤,62,투수,우투우타,1990년 09월 16일,185cm/91kg,4.99,63,4,7,13,3,0.364,57 2/3,57,10,13,1,43,34,32,1.21,0,0,0,3,242,938,0.253,12,2,2,1,3,1,0
54401,삼성,김대호,삼성41김대호,41,투수,우투우타,2001년 10월 15일,185cm/100kg,5.14,11,0,1,0,0,0.000,21,25,3,15,1,19,13,12,1.90,0,0,0,0,105,392,0.291,6,0,1,2,0,1,0
54404,삼성,육선엽,삼성4육선엽,4,투수,우투우타,2005년 07월 13일,190cm/90kg,5.34,27,0,1,0,1,0.000,28 2/3,23,4,24,0,19,21,17,1.64,0,0,0,0,133,564,0.217,3,0,3,0,0,2,0
51454,삼성,이승현,삼성57이승현,57,투수,좌투좌타,2002년 05월 19일,183cm/102kg,5.42,25,4,9,0,0,0.308,101 1/3,121,10,46,9,74,64,61,1.65,0,0,2,0,471,1840,0.298,23,2,7,3,0,2,0
60146,삼성,이승현,삼성26이승현,26,투수,우투우타,1991년 11월 20일,181cm/92kg,6.31,42,2,1,0,11,0.667,35 2/3,43,9,11,1,29,26,25,1.51,0,0,0,1,161,648,0.303,7,0,6,1,1,1,0
53455,삼성,이호성,삼성1이호성,1,투수,우투우타,2004년 08월 14일,184cm/87kg,6.34,58,7,4,9,3,0.636,55 1/3,54,7,29,2,69,44,39,1.50,0,0,0,4,252,1032,0.252,7,2,3,4,0,0,1
50441,삼성,황동재,삼성18황동재,18,투수,우투우타,2001년 11월 03일,191cm/97kg,6.97,15,0,1,0,0,0.000,20 2/3,27,1,14,2,22,16,16,1.98,0,0,0,0,104,403,0.310,2,0,0,1,0,3,0
75421,삼성,오승환,삼성21오승환,21,투수,우투우타,1982년 07월 15일,178cm/93kg,8.00,12,0,0,0,0,-,9,15,1,3,0,7,8,8,2.00,0,0,0,0,45,173,0.366,5,0,0,1,0,1,0
62146,삼성,최성훈,삼성54최성훈,54,투수,좌투좌타,1989년 10월 11일,178cm/75kg,9.00,2,0,0,0,0,-,1,1,0,1,0,1,1,1,2.00,0,0,0,0,5,20,0.250,0,0,0,0,0,0,0
54467,삼성,정민성,삼성49정민성,49,투수,우투우타,2005년 05월 09일,184cm/98kg,36.00,1,0,1,0,0,0.000,1,3,0,0,2,0,4,4,3.00,0,0,0,0,7,23,0.600,2,1,0,0,0,1,0
66451,삼성,최충연,삼성61최충연,61,투수,우투우타,1997년 03월 05일,190cm/85kg,37.80,4,0,0,0,0,-,1 2/3,7,1,2,1,1,8,7,5.40,0,0,0,0,15,60,0.583,1,0,0,0,0,0,0
50650,KT,최용준,KT67최용준,67,투수,우투우타,2001년 12월 19일,192cm/105kg,2.00,7,1,0,0,0,1.000,9,13,0,2,0,5,2,2,1.67,0,0,0,0,39,128,0.351,1,0,0,0,1,0,0
73117,KT,우규민,KT12우규민,12,투수,우언우타,1985년 01월 21일,184cm/75kg,2.44,53,1,2,0,9,0.333,44 1/3,45,2,3,4,24,12,12,1.08,0,0,0,1,185,665,0.259,6,0,4,0,1,0,0
69054,KT,이상동,KT37이상동,37,투수,우투우타,1995년 11월 24일,181cm/88kg,2.49,41,3,0,0,5,1.000,43 1/3,31,4,9,2,34,12,12,0.92,0,0,0,1,168,656,0.203,6,0,2,2,1,1,0
55046,KT,박건우,KT박건우,,투수,우투우타,2006년 11월 28일,182cm/95kg,2.70,6,0,0,0,0,-,6 2/3,4,1,4,0,9,2,2,1.20,0,0,0,0,28,117,0.167,0,0,0,0,0,0,0
55032,KT,패트릭,KT32패트릭,32,투수,우투우타,1995년 06월 10일,196cm/96kg,3.12,15,3,3,0,2,0.500,60 2/3,63,2,21,2,45,26,21,1.38,0,0,2,0,267,992,0.259,10,2,1,0,0,5,0
67419,KT,문용익,KT18문용익,18,투수,우투우타,1995년 02월 04일,178cm/93kg,3.14,20,1,0,0,0,1.000,28 2/3,21,3,19,0,31,11,10,1.40,0,0,0,0,121,528,0.212,7,0,2,1,1,0,0
