pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,OAVG,2B,3B,SAC,SF,IBB,WP,BK
63492,삼성,이재익,삼성45이재익,45,투수,좌투좌타,1994년 03월 18일,180cm/76kg,0.00,4,0,0,0,0,-,4 1/3,4,0,1,0,5,0,0,1.15,0,0,0,0,18,79,0.250,0,0,0,1,0,0,0
51460,삼성,이재희,삼성17이재희,17,투수,우투좌타,2001년 10월 11일,187cm/88kg,2.70,18,0,0,1,3,-,13 1/3,11,1,13,4,14,5,4,1.80,0,0,0,0,66,269,0.234,0,0,1,1,1,4,0
77446,삼성,백정현,삼성29백정현,29,투수,좌투좌타,1987년 07월 13일,184cm/80kg,6.75,25,2,2,0,3,0.500,21 1/3,21,6,8,0,15,16,16,1.36,0,0,0,1,90,326,0.266,3,1,2,1,0,1,0
54404,삼성,육선엽,삼성4육선엽,4,투수,우투우타,2005년 07월 13일,190cm/90kg,11.57,2,0,0,0,0,-,2 1/3,2,1,3,1,3,3,3,2.14,0,0,0,0,13,53,0.286,1,0,1,1,0,2,0
56459,삼성,페덱,삼성59페덱,59,투수,우투우타,1996년 01월 08일,196cm/98kg,2.55,8,4,2,0,0,0.667,49 1/3,33,3,10,2,54,16,14,0.87,0,0,6,0,193,784,0.186,5,0,3,1,0,3,0
56460,삼성,장찬희,삼성60장찬희,60,투수,우투우타,2007년 10월 05일,186cm/80kg,4.13,31,4,5,0,2,0.444,65 1/3,59,10,28,4,50,32,30,1.33,0,0,1,0,285,1104,0.240,11,3,2,5,2,1,0
56464,삼성,오러클린,삼성오러클린,,투수,좌투좌타,2000년 03월 14일,196cm/101kg,4.86,17,5,5,0,0,0.500,83 1/3,78,7,38,10,81,48,45,1.39,0,0,7,0,366,1510,0.253,20,1,5,5,0,4,0
56468,삼성,박용재,삼성68박용재,68,투수,우투우타,2007년 03월 24일,195cm/105kg,-,1,0,0,0,0,-,0,3,1,1,0,0,3,3,-,0,0,0,0,4,21,1.000,1,0,0,0,0,1,0
56469,삼성,정재훈,삼성69정재훈,69,투수,우투우타,2007년 03월 08일,185cm/85kg,20.25,2,0,0,0,0,-,1 1/3,3,1,0,1,1,3,3,2.25,0,0,0,0,7,16,0.500,0,0,0,0,0,0,0
62360,삼성,김태훈,삼성27김태훈,27,투수,우투우타,1992년 03월 02일,187cm/101kg,2.81,36,2,1,0,5,0.667,32,23,4,7,4,23,15,10,0.94,0,0,0,2,131,483,0.202,4,1,5,1,0,1,0
56474,삼성,사토시,삼성74사토시,74,투수,우투우타,1998년 05월 28일,193cm/93kg,7.00,9,0,1,1,1,0.000,9,10,3,2,1,4,7,7,1.33,0,0,0,1,38,144,0.303,2,0,1,1,0,1,0
55455,삼성,배찬승,삼성55배찬승,55,투수,좌투좌타,2006년 01월 01일,180cm/85kg,2.68,49,4,2,0,9,0.667,37,32,5,34,4,30,14,11,1.78,0,0,0,1,177,737,0.239,5,0,2,3,3,7,0
50464,삼성,이승민,삼성28이승민,28,투수,좌투좌타,2000년 08월 26일,174cm/79kg,2.47,61,5,1,1,19,0.833,54 2/3,48,3,27,1,48,19,15,1.37,0,0,0,0,234,998,0.238,7,0,4,0,1,0,0
62754,삼성,임기영,삼성38임기영,38,투수,우언우타,1993년 04월 16일,184cm/86kg,4.63,37,0,1,0,1,0.000,46 2/3,50,6,11,3,32,26,24,1.31,0,0,0,1,201,782,0.269,10,0,0,1,1,0,0
65062,삼성,김재윤,삼성62김재윤,62,투수,우투우타,1990년 09월 16일,185cm/91kg,3.05,57,7,5,31,0,0.583,56,32,2,24,1,60,19,19,1.00,0,0,0,5,222,919,0.164,7,0,2,0,2,1,0
